home,score,away,date
Russia ,5–0, Saudi Arabia,14 June 2018 (2018-06-14)
Egypt ,0–1, Uruguay,15 June 2018 (2018-06-15)
Russia ,3–1, Egypt,19 June 2018 (2018-06-19)
Uruguay ,1–0, Saudi Arabia,20 June 2018 (2018-06-20)
Uruguay ,3–0, Russia,25 June 2018 (2018-06-25)
Saudi Arabia ,2–1, Egypt,25 June 2018 (2018-06-25)
Morocco ,0–1, Iran,15 June 2018 (2018-06-15)
Portugal ,3–3, Spain,15 June 2018 (2018-06-15)
Portugal ,1–0, Morocco,20 June 2018 (2018-06-20)
Iran ,0–1, Spain,20 June 2018 (2018-06-20)
Iran ,1–1, Portugal,25 June 2018 (2018-06-25)
Spain ,2–2, Morocco,25 June 2018 (2018-06-25)
France ,2–1, Australia,16 June 2018 (2018-06-16)
Peru ,0–1, Denmark,16 June 2018 (2018-06-16)
Denmark ,1–1, Australia,21 June 2018 (2018-06-21)
France ,1–0, Peru,21 June 2018 (2018-06-21)
Denmark ,0–0, France,26 June 2018 (2018-06-26)
Australia ,0–2, Peru,26 June 2018 (2018-06-26)
Argentina ,1–1, Iceland,16 June 2018 (2018-06-16)
Croatia ,2–0, Nigeria,16 June 2018 (2018-06-16)
Argentina ,0–3, Croatia,21 June 2018 (2018-06-21)
Nigeria ,2–0, Iceland,22 June 2018 (2018-06-22)
Nigeria ,1–2, Argentina,26 June 2018 (2018-06-26)
Iceland ,1–2, Croatia,26 June 2018 (2018-06-26)
Costa Rica ,0–1, Serbia,17 June 2018 (2018-06-17)
Brazil ,1–1, Switzerland,17 June 2018 (2018-06-17)
Brazil ,2–0, Costa Rica,22 June 2018 (2018-06-22)
Serbia ,1–2, Switzerland,22 June 2018 (2018-06-22)
Serbia ,0–2, Brazil,27 June 2018 (2018-06-27)
Switzerland ,2–2, Costa Rica,27 June 2018 (2018-06-27)
Germany ,0–1, Mexico,17 June 2018 (2018-06-17)
Sweden ,1–0, South Korea,18 June 2018 (2018-06-18)
South Korea ,1–2, Mexico,23 June 2018 (2018-06-23)
Germany ,2–1, Sweden,23 June 2018 (2018-06-23)
South Korea ,2–0, Germany,27 June 2018 (2018-06-27)
Mexico ,0–3, Sweden,27 June 2018 (2018-06-27)
Belgium ,3–0, Panama,18 June 2018 (2018-06-18)
Tunisia ,1–2, England,18 June 2018 (2018-06-18)
Belgium ,5–2, Tunisia,23 June 2018 (2018-06-23)
England ,6–1, Panama,24 June 2018 (2018-06-24)
England ,0–1, Belgium,28 June 2018 (2018-06-28)
Panama ,1–2, Tunisia,28 June 2018 (2018-06-28)
Colombia ,1–2, Japan,19 June 2018 (2018-06-19)
Poland ,1–2, Senegal,19 June 2018 (2018-06-19)
Japan ,2–2, Senegal,24 June 2018 (2018-06-24)
Poland ,0–3, Colombia,24 June 2018 (2018-06-24)
Japan ,0–1, Poland,28 June 2018 (2018-06-28)
Senegal ,0–1, Colombia,28 June 2018 (2018-06-28)
France ,4–3, Argentina,30 June 2018 (2018-06-30)
Uruguay ,2–1, Portugal,30 June 2018 (2018-06-30)
Spain ,1–1 (a.e.t.), Russia,1 July 2018 (2018-07-01)
Croatia ,1–1 (a.e.t.), Denmark,1 July 2018 (2018-07-01)
Brazil ,2–0, Mexico,2 July 2018 (2018-07-02)
Belgium ,3–2, Japan,2 July 2018 (2018-07-02)
Sweden ,1–0, Switzerland,3 July 2018 (2018-07-03)
Colombia ,1–1 (a.e.t.), England,3 July 2018 (2018-07-03)
Uruguay ,0–2, France,6 July 2018 (2018-07-06)
Brazil ,1–2, Belgium,6 July 2018 (2018-07-06)
Sweden ,0–2, England,7 July 2018 (2018-07-07)
Russia ,2–2 (a.e.t.), Croatia,7 July 2018 (2018-07-07)
France ,1–0, Belgium,10 July 2018 (2018-07-10)
Croatia ,2–1 (a.e.t.), England,11 July 2018 (2018-07-11)
Belgium ,2–0, England,14 July 2018 (2018-07-14)
France ,4–2, Croatia,15 July 2018 (2018-07-15)
